   TT       PID      AT       CT       IO_D      WT        RT       TRT      DL
   4       73        2        3        0         0         2        3       40
   4       78        2        2        0         2         0        3       80
   5       71        1        5        0         0         1        5       20
   5       79        3        2        0         2         0        3       40
   5       77        2        3        0         1         3        4       40
   5       85        4        1        0         1         0        2       80
   5       72        2        4        0         0         2        4       20
   5       82        3        2        0         2         0        3       40
   6        1        1        6        0         0         1        6       10
   6       11        3        4        0         0         3        4       12
   9        6        3        7        0         0         3        7       15
  10       16        5        5        0         1         5        6       31
  11        4        2       10        0         0         2       10       16
  11       76        2        9        0        15         5       10       32
  11       87        5        8        0         6         0        7       64
  11       92        7        6        0         4         0        5       64
  11       81        3        8        0        13         7        9       32
  11       89        7        7        0         4         0        5       64
  11       93        8        6        0         3         0        4       64
  11       21        6        5        0         1         6        6       25
  12       74        2       11        0         0         2       11       40
  12       83        3        9        0        16         6       10       80
  12       94        9        5        0         3         0        4      160
  12       86        4        8        0         8         0        9       80
  13        2        2       12        0         0         2       12       20
  13       84        4        9        0        10        12       10       40
  13       24        8        4        0         2         8        6       13
  15        9        3       13        0         0         3       13       20
  17       14        4        4        0        10         4       14       12
  18       80        3       13        0         3         6       16       50
  18       88        6       12        0        19        12       13      100
  18       98       13       10        0         5         0        6      200
  18      100       14        9        0         4         0        5      200
  18       91        7       11        0        18        12       12      100
  18       97       12       10        0         6         0        7      200
  18      102       15        7        0         3         0        4      200
  18       29       13        6        0         0        13        6       42
  18      103       15        3        0         3         0        4       84
  18      105       17        1        0         1         0        2       84
  19       75        2       14        0         4         6       18       50
  19       90        7       12        0        18        13       13      100
  19       95       10        9        0        17        11       10      100
  19       96       11        8        0        13        14        9      200
  19      101       15        6        0         4         0        5      400
  19      104       17        4        0         3        19        3      400
  19      107       19        3        0         0         0        1      800
  19       99       13        6        0        11        14        7      200
  19      106       18        1        0         1         0        2      400
  22       26       10        5        0         8        10       13       25
  25      112       20        6        0         0        20        6      512
  25      118       22        3        0         3         0        4     1024
  25      122       24        1        0         1         0        2     1024
  25      115       21        5        0         0        21        5      512
  25      116       21        4        0         4         0        5     1024
  25      124       24        1        0         1         0        2     1024
  26      111       20        7        0         0        20        7      256
  27      110       20        8        0         0        20        8      128
  27      117       22        5        0         6        26        6      256
  27      125       26        4        0         1         0        2      512
  28      109       20        9        0         0        20        9       64
  28      119       23        5        0         5         0        6      128
  28      114       21        8        0         0        21        8       64
  28      121       23        5        0         5         0        6      128
  29      108       19       10        0         1        20       11       32
  29      113       20        9        0         1        21       10       32
  29      120       23        6        0         8        28        7       64
  29      131       29        4        0         0         0        1      128
  29      123       24        5        0         8        27        6       64
  29      126       27        4        0         5        27        3      128
  29      127       27        3        0         4        27        3      256
  29      129       28        1        0         1         0        2      512
  29       19        5        7        0        18         5       25       42
  33       34       18       16        0         0        18       16       13
  37       10        3        8        2        25         3       35       18
  55        3        2       15        3        36         2       54       25
  59       31       13       43        0         4        13       47       35
  64        5        2        9        7        47         2       63       15
  69       36       18       45        0         7        18       52       33
  74       39       22       46        0         7        22       53       42
  91       25        9        8        2        73         9       83       17
  95       68       82       13        0         1        82       14      105
 101       54       55       47        0         0        55       47       12
 107       67       76       28        0         4        76       32      102
 108      138       34       75        0         0        34       75      480
 108      141       34       74        0        74         0       75      960
 108      145       35       73        0        73         0       74      960
 110      132       30       81        0         0        30       81      120
 110      134       32       78        0       102        32       79      240
 110      135       33       76        0       102        33       78      480
 110      139       34       74        0        76         0       77      960
 110      143       35       73        0        75         0       76      960
 110      137       34       75        0       134        34       77      480
 110      140       34       74        0        76         0       77      960
 110      144       35       73        0        75         0       76      960
 110      136       34       76        0        82        34       77      240
 110      147       36       73        0       117        67       75      480
 110      152       67       72        0        43         0       44      960
 110      153       71       68        0        78        72       40      960
 110      154       72       67        0        38         0       39     1920
 110      155       74       65        0        72        74       37     1920
 110      156       75       63        0        70         0       36     3840
 110      157       75       62        0        35         0       36     7680
 110      159       76       61        0        34         0       35     7680
 110      158       76       62        0        34         0       35     3840
 110       15        4        9        2        96         4      107       19
 111      130       29       82        0         1        30       83      120
 111      133       32       79        0       115        32       80      240
 111      146       36       74        0        75         0       76      480
 111      148       41       69        0        70         0       71      480
 111      142       35       76        0        78       109       77      240
 111      160      109       75        0         3       110        3      480
 111      161      110       74        0         1         0        2      960
 111      162      110       74        0         1         0        2      480
 111       30       13        8        2        89        13       99       30
 112      128       28       83        0         2        29       85       60
 120       60       68       46        0         7        68       53       71
 131       61       68       55        0         9        68       64       80
 159       20        6        9        2       143         6      154       20
 169        7        3       18       10       139         3      167       25
 174       40       22       23       34        96        22      153       30
 183       12        4       13        9       158         4      180       16
 190       35       18       24        2       147        18      173       17
 196      164      112       85        0         0       112       85     1040
 196      169      114       82        0        82         0       83     2080
 196      173      115       81        0       144       132       82     2080
 196      179      132       80        0        64         0       65     4160
 196      180      133       79        0        63         0       64     4160
 197      168      114       83        0         1       114       84     1040
 197      176      116       80        0        81         0       82     2080
 197      178      117       79        0        80         0       81     2080
 197      166      112       85        0         1       113       86      520
 197      171      114       83        0        83         0       84     1040
 197      174      115       82        0        82         0       83     1040
 197      151       59       88        0        51       110      139      260
 197      163      111       86        0        99       112       87      520
 198      165      112       87        0         0       112       87      520
 198      167      113       85        0       168       113       86     1040
 198      172      114       83        0        84         0       85     2080
 198      175      115       82        0        83         0       84     2080
 198      177      117       81        0        81         0       82     1040
 201      150       58       89        0        55       111      144      260
 201      170      114       85        0        92       197       88      520
 201      181      198       83        0         6       199        4     1040
 201      182      199       82        0         4       199        3     2080
 201      185      200       81        0         2       200        2     2080
 201      188      200       80        0         1         0        2     4160
 201      183      199       82        0         4       199        3     1040
 201      184      199       81        0         4       199        3     2080
 201      187      200       79        0         1         0        2     4160
 201      186      200       80        0         2       200        2     2080
 201      189      200       79        0         1         0        2     4160
 263      149       55       91        0       118        57      209      130
 317       42       28       55       33       202        28      290       43
 318       41       28       84       42       165        28      291       30
 336        8        3       14       10       310         3      334       30
 374       44       28       46       16       285        28      347       45
 374       45       28       12       38       297        28      347       12
 454       43       28      122       58       247        28      427       12
 490       49       37       57       34       363        37      454       18
 495       50       37       89       23       347        37      459       11
 513       48       37       47       37       393        37      477       15
 544       47       37       24       60       424        37      508       19
 594       17        5       16       10       564         5      590       32
 595       13        4       11       12       569         4      592       15
 627       46       37       44       60       487        37      591       14
 758       18        5       15       10       729         5      754       33
 773       56       55       27       23       669        55      719       69
 812       23        7       15       10       781         7      806       12
 845       58       68       39       49       690        68      778       70
1062       27       12       16       10      1025        12     1051       25
1183       63       76       45       27      1036        76     1108       88
1217       22        6       11       10      1191         6     1212       11
1265       32       17       48       10      1191        17     1249       36
1290       28       12       15       10      1254        12     1279       25
1323       33       17       47       10      1250        17     1307       36
1331       37       18       57       10      1247        18     1314       65
1379       38       22       87       10      1261        22     1358       12
1432       66       76       39       35      1283        76     1357       90
1460       51       55       92       24      1290        55     1406       65
1467       57       68       69       38      1293        68     1400       69
1518       69       82       50       58      1329        82     1437      104
1557       64       76       47       88      1347        76     1482       89
1571       55       55       37       69      1411        55     1517       64
1572       70       82       30       47      1414        82     1491      109
1587       53       55       29       23      1481        55     1533       67
1643       62       76       39       64      1465        76     1568       80
1644       52       55       49      183      1358        55     1590       66
1648       65       76       49       63      1461        76     1573       89
1670       59       68       89      172      1342        68     1603       71
Processes :189
Avg WT = 201.741,      Avg RT = 30.1111,      Avg TRT = 224.926
Megration % = 92.0635       RTF = 40.2116 %        MaxW = 51.8519 %
Work Steal % = 5.29101%
Forked Process :62.963%
Killed Process :49.2063%

Processors :35 [ 9 FCSF 6 SJF 8 RR 12 EDF] 
Processors Load
P1 = 0.517513 %,      P2 = 0.446943 %,      P3 = 0.442238 %,      P4 = 0.435181 %,      P5 = 0.418715 %,      P6 = 0.317565 %,      P7 = 0.49399 %,      P8 = 0.355202 %,      P9 = 0.369316 %,      P10 = 0.957399 %,      P11 = 0.477523 %,      P12 = 0.190539 %,      P13 = 0.105855 %,      P14 = 0.084684 %,      P15 = 0.157606 %,      P16 = 1.33612 %,      P17 = 0.762156 %,      P18 = 0.468114 %,      P19 = 0.122321 %,      P20 = 0.0188187 %,      P21 = 0.007057 %,      P22 = 0.035285 %,      P23 = 0.0258757 %,      P24 = 0.0117617 %,      P25 = 0 %,      P26 = 0 %,      P27 = 0 %,      P28 = 0 %,      P29 = 0 %,      P30 = 0 %,      P31 = 0 %,      P32 = 0 %,      P33 = 0 %,      P34 = 0 %,      P35 = 0 % 

Processors Utiliz
P1 = 13.1737 %,      P2 = 11.3772 %,      P3 = 11.2575 %,      P4 = 11.0778 %,      P5 = 10.6587 %,      P6 = 8.08383 %,      P7 = 12.5749 %,      P8 = 9.04192 %,      P9 = 9.4012 %,      P10 = 24.3713 %,      P11 = 12.1557 %,      P12 = 4.8503 %,      P13 = 2.69461 %,      P14 = 2.15569 %,      P15 = 4.01198 %,      P16 = 34.012 %,      P17 = 19.4012 %,      P18 = 11.9162 %,      P19 = 3.11377 %,      P20 = 0.479042 %,      P21 = 0.179641 %,      P22 = 0.898204 %,      P23 = 0.658683 %,      P24 = 0.299401 %,      P25 = 0 %,      P26 = 0 %,      P27 = 0 %,      P28 = 0 %,      P29 = 0 %,      P30 = 0 %,      P31 = 0 %,      P32 = 0 %,      P33 = 0 %,      P34 = 0 %,      P35 = 0 %
Avg utilization = 6.22412 % 
EDF persentage = 68.254 % 
